80
33727,1867,5166,3977
33728,1862,5165,3978
33729,1862,5163,3969
33730,1862,5162,3983
33731,1865,5170,3976
33732,1864,5159,3979
33733,1863,5162,3977
33734,1866,5163,3983
33735,1865,5167,3981
33736,1865,5167,3982
33737,1865,5167,3980
33738,1864,5168,3973
33739,1867,5162,3977
33740,1865,5165,3980
33741,1864,5172,3978
33742,1867,5166,3976
33743,1863,5164,3975
33744,1864,5165,3980
33745,1863,5165,3977
33746,1865,5164,3978
33747,1865,5164,3978
33748,1864,5161,3977
33749,1867,5164,3976
33750,1856,5167,3979
33751,1862,5157,3978
33752,1865,5162,3980
33753,1864,5167,3977
33754,1865,5163,3976
33755,1863,5168,3975218918,1815,5173,3968
218919,1820,5174,3976
218920,1819,5170,3976
218921,1819,5169,3982
218922,1821,5170,3976
218923,1820,5173,3974
218924,1818,5172,3976
218925,1820,5174,3969
218926,1820,5165,3962
218927,1821,5175,3976
218928,1819,5172,3978
218929,1823,5164,3976
218930,1821,5171,3978
218931,1822,5172,3979
218932,1821,5174,3977
218933,1819,5171,3981
218934,1819,5168,3968
218935,1823,5174,3976
218936,1822,5170,3979
218937,1822,5163,3978
218938,1819,5170,3974
218939,1820,5172,3977
218940,1821,5162,3975
218941,1822,5171,3978
218942,1816,5171,3981
218943,1822,5164,3981
218944,1818,5170,3978
218945,1821,5174,3975
218946,1820,5175,3973
218947,1821,5173,3978
218948,1820,5171,3974
218949,1822,5174,3980
218950,1820,5174,3979
218951,1822,5171,3973
218952,1819,5171,3977
218953,1820,5170,3977
218954,1822,5166,3976
218955,1823,5171,3974
218956,1822,5173,3975
218957,1822,5171,3978
218958,1820,5173,3980
218959,1820,5174,3971
218960,1822,5172,3974
218961,1819,5174,3975
218962,1821,5171,3970
218963,1821,5169,3976
218964,1820,5174,3977
218965,1822,5163,3972
218966,1821,5172,3981
218967,1822,5173,3978
218968,1821,5165,3967
218969,1822,5174,3981
218970,1820,5172,3979
218971,1820,5171,3976
218972,1822,5174,3979
218973,1821,5172,3970
218974,1821,5175,3978
218975,1815,5172,3979
218976,1821,5171,3974
218977,1820,5172,3982
218978,1818,5172,3975
218979,1819,5166,3971
218980,1823,5173,3974
218981,1819,5169,3977
218982,1821,5170,3976
218983,1818,5176,3977
218984,1809,5166,4506
218985,1819,5172,3946
218986,1823,5172,3972
218987,1820,5172,3979
218988,1822,5171,3970
218989,1819,5174,3978
218990,1820,5173,3972
218991,1820,5172,3976
218992,1822,5169,3980
218993,1821,5163,3974
218994,1822,5171,3980
218995,1820,5174,3973
218996,1818,5172,3979
218997,1820,5173,3979
218998,1822,5171,3966
218999,1821,5169,3979
219000,1821,5173,3971
219001,1820,5170,3971
219002,1820,5175,3973
219003,1823,5171,3979
219004,1821,5164,3975
219005,1822,5174,3979
219006,1820,5171,3980
219007,1823,5165,3972
219008,1820,5173,3976
219009,1820,5171,3983
219010,1820,5172,3981
219011,1823,5171,3974
219012,1820,5172,3972
219013,1822,5173,3981
219014,1821,5172,3973
219015,1820,5173,3968
219016,1821,5173,3975
219017,1822,5169,3973
219018,1821,5168,3973
219019,1818,5173,3976
219020,1822,5172,3977
219021,1820,5173,3980
219022,1821,5171,3981
219023,1819,5169,3972
219024,1821,5171,3978
219025,1819,5172,3979
219026,1824,5169,3972
219027,1822,5174,3973
219028,1820,5171,3977
219029,1820,5171,3973
219030,1821,5173,3975
219031,1825,5170,3978
219032,1822,5172,3976
219033,1821,5168,3977
219034,1823,5171,3975
219035,1819,5173,3977
219036,1820,5169,3978
219037,1828,5171,3977
219038,1819,5171,3978
219039,1820,5173,3977
219040,1821,5172,3976
219041,1820,5170,3981
219042,1822,5171,3978
219043,1826,5165,3975
219044,1820,5175,3986
