720,5165,3971
636935,1818,5173,3975
636936,1822,5169,3975
636937,1818,5172,3977
636938,1820,5171,3980
636939,1822,5165,3974
636940,1821,5172,3981
636941,1819,5170,3978
636942,1820,5171,3980
636943,1819,5175,3975
636944,1817,5172,3973
636945,1820,5174,3972
636946,1820,5173,3975
636947,1814,5174,3974
636948,1819,5171,3981
636949,1817,5173,3976
636950,1819,5163,3970
636951,1818,5174,3980
636952,1818,5179,3978
636953,1816,5171,3972
636954,1819,5175,3980
636955,1819,5173,3974
636956,1818,5172,3971
636957,1819,5173,3975
636958,1820,5172,3976
636959,1820,5173,3973
636960,1823,5174,3985
636961,1818,5174,3969
636962,1817,5168,3975
636963,1820,5172,3975
636964,1821,5160,3968
636965,1815,5174,3979
636966,1820,5173,3974
636967,1822,5173,3977
636968,1824,5173,3974
636969,1820,5170,3978
636970,1820,5174,3980
636971,1820,5172,3978
636972,1819,5171,3969
636973,1816,5167,3974
636974,1819,5174,3975
636975,1819,5171,3974
636976,1825,5171,3977
636977,1819,5172,3977
636978,1821,5168,3978
636979,1820,5173,3982
636980,1819,5173,3975
636981,1831,5175,3976
636982,1820,5175,3971
636983,1822,5173,3972
636984,1816,5172,3981
636985,1821,5172,3977
636986,1819,5172,3965
636987,1820,5173,3975
636988,1818,5176,3977
636989,1816,5168,3976
636990,1819,5172,3978
636991,1818,5172,3979
636992,1812,5172,3976
636993,1829,5173,3978
636994,1820,5172,3976
636995,1821,5173,3976
636996,1822,5172,3979
636997,1819,5174,3971
636998,1819,5174,3976
636999,1823,5171,3975
637000,1818,5165,3989
637001,1821,5174,3981
637002,1820,5172,3982
637003,1818,5166,3975
637004,1816,5175,3972
637005,1820,5174,3979
637006,1821,5171,3979
637007,1821,5174,3977
637008,1820,5173,3974
637009,1820,5173,3976
637010,1820,5173,3981
637011,1818,5173,3969
637012,1819,5169,3978
637013,1814,5175,3970
637014,1815,5166,3970
637015,1820,5171,3979
637016,1820,5171,3977
637017,1823,5172,3977
637018,1821,5173,3980
637019,1836,5173,3974
637020,1820,5172,3975
637021,1823,5173,3971
637022,1821,5176,3980
637023,1820,5173,3981
637024,1817,5173,3982
637025,1822,5172,3973
637026,1821,5172,3974
637027,1821,5171,3973
637028,1817,5167,3978
637029,1820,5174,3980
637030,1816,5173,3985
637031,1819,5172,3976
637032,1821,5178,3975
637033,1806,5173,3978
637034,1819,5171,3974
637035,1819,5173,3974
637036,1823,5172,3966
637037,1822,5173,3976
637038,1822,5172,3974
637039,1821,5165,3973
637040,1819,5174,3972
637041,1818,5173,3979
637042,1822,5166,3994
637043,1821,5173,3978
637044,1818,5173,3976
637045,1820,5171,3981
637046,1815,5173,3979
637047,1819,5171,3974
637048,1816,5177,3979
637049,1820,5175,3974
637050,1828,5171,3965
637051,1814,5173,3978
637052,1817,5173,3980
637053,1822,5164,3977
637054,1822,5172,3978
637055,1821,5171,3976
637056,1834,5172,3976
637057,1820,5172,3976
637058,1819,5174,3976
637059,1822,5173,3977
637060,1822,5170,3982
637061,1820,5173,3973
637062,1821,5175,3975
637063,1812,5173,3980
637064,1819,5170,3975
